protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA-CPU-Serial,Mersenne127,18,262144,524288,2.000000000,1,serial,5,10,4.491193,44.110874,44.027228,43.960431,44.5423,0.466107,168.2696304321289,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,18,262144,524288,2.000000000,32,parallel-single-codeword,5,10,0.000000,45.432191,45.299852,45.041876,45.8856,0.692078,173.31005592346193,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,18,262144,524288,2.000000000,0,gpu,5,10,8.563927,0.404027,0.402849,0.395249,0.4222,1.640720,1.5412414550781248,0.143027,0.102214,0.151398,0.396640,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,19,524288,1048576,2.000000000,1,serial,5,10,9.245283,93.129962,92.918268,92.565629,93.8692,0.549154,177.63130474090576,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,19,524288,1048576,2.000000000,32,parallel-single-codeword,5,10,0.000000,56.541539,56.510990,56.156372,57.0927,0.493310,107.84442672729492,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,19,524288,1048576,2.000000000,0,gpu,5,10,9.910988,0.714683,0.715866,0.696246,0.7277,1.172330,1.3631488800048828,0.249578,0.155744,0.301866,0.707187,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,20,1048576,2097152,2.000000000,1,serial,5,10,18.083427,214.509754,213.991843,213.878401,216.2496,0.415163,204.57244300842288,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,20,1048576,2097152,2.000000000,32,parallel-single-codeword,5,10,0.000000,106.165605,106.055750,105.343254,106.9573,0.408491,101.24741115570069,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,20,1048576,2097152,2.000000000,0,gpu,5,10,15.082717,1.275662,1.286029,1.246439,1.2986,1.545535,1.2165663719177247,0.423459,0.237200,0.605763,1.266422,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,21,2097152,4194304,2.000000000,1,serial,5,10,39.190522,467.621129,467.419128,466.947022,469.8588,0.172564,222.9791302680969,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
